Date,Reviews,Norm_Reviews,Region
2019-08-11,10966,0.40785727842095276,Australia
2019-08-18,11833,0.4407667489087113,Australia
2019-08-25,11581,0.4312013664832036,Australia
2019-09-01,11215,0.4173087872461568,Australia
2019-09-08,10794,0.4013285253368761,Australia
2019-09-15,11403,0.4244448661985196,Australia
2019-09-22,11914,0.44384133611691023,Australia
2019-09-29,14728,0.550654773201746,Australia
2019-10-06,19551,0.7337255646232682,Australia
2019-10-13,16413,0.6146137787056367,Australia
2019-10-20,13973,0.5219965837919909,Australia
2019-10-27,15402,0.5762383754033024,Australia
2019-11-03,15548,0.5817802239514139,Australia
2019-11-10,16689,0.6250901499335737,Australia
2019-11-17,16330,0.611463275763902,Australia
2019-11-24,17379,0.6512810780034162,Australia
2019-12-01,17791,0.6669197191117859,Australia
2019-12-08,16336,0.6116910229645094,Australia
2019-12-15,14731,0.5507686468020497,Australia
2019-12-22,14510,0.5423799582463465,Australia
2019-12-29,18914,0.7095464034921237,Australia
2020-01-05,26566,1.0,Australia
2020-01-12,19727,0.7404061491744164,Australia
2020-01-19,17517,0.6565192636173847,Australia
2020-01-26,19671,0.7382805086354147,Australia
2020-02-02,18879,0.7082178781552477,Australia
2020-02-09,15489,0.5795407098121086,Australia
2020-02-16,16803,0.629417346745113,Australia
2020-02-23,17506,0.6561017270829379,Australia
2020-03-01,17020,0.6376542038337445,Australia
2020-03-08,17019,0.6376162459669766,Australia
2020-03-15,17118,0.6413740747769975,Australia
2020-03-22,12480,0.46532548870753465,Australia
2020-03-29,5120,0.18595558929588157,Australia
2020-04-05,3147,0.11106471816283925,Australia
2020-04-12,2141,0.07287910419434428,Australia
2020-04-19,1564,0.050977415069273106,Australia
2020-04-26,1447,0.04653634465743025,Australia
2020-05-03,1861,0.06225090149933574,Australia
2020-05-10,1732,0.057354336686278234,Australia
2020-05-17,1980,0.06676788764471436,Australia
2020-05-24,2849,0.09975327386600873,Australia
2020-05-31,3174,0.11208958056557221,Australia
2020-06-07,5288,0.1923325109128867,Australia
2020-06-14,5633,0.20542797494780793,Australia
2020-06-21,4177,0.15016132093376353,Australia
2020-06-28,4229,0.15213513000569368,Australia
2020-07-05,4920,0.17836401594230405,Australia
2020-07-12,5591,0.20383374454355666,Australia
2020-07-19,4811,0.17422660846460428,Australia
2020-07-26,3502,0.12453976086543936,Australia
